scenario_id,scenario_name,category,seed,condition,passed,fail_reason,peak_price,final_price,max_drawdown,peak_bubble_risk,bubble_high_risk_steps,peak_manipulation_risk,manipulation_high_risk_steps,panic_high_risk_steps,overall_high_risk_steps,intervention_count,event_count
D01,kol_coordination,risk_identification,4,default,True,,107.79,95.12,-11.75,0.3444,8,,0,0,8,0,252
D01,kol_coordination,risk_identification,5,default,True,,107.79,95.12,-11.75,0.3094,4,,0,0,4,0,252
D01,kol_coordination,risk_identification,6,default,True,,107.79,95.12,-11.75,0.3267,7,,0,0,7,0,252
D01,kol_coordination,risk_identification,7,default,True,,107.79,95.12,-11.75,0.3464,8,,0,0,8,0,252
D01,kol_coordination,risk_identification,8,default,True,,107.79,95.12,-11.75,0.3073,4,,0,0,4,0,252
D01,kol_coordination,risk_identification,9,default,True,,107.79,95.12,-11.75,0.3155,6,,0,0,6,0,252
D02,fomo_surge,risk_identification,0,default,True,,144.79,142.28,-1.73,0.6025,34,,0,0,34,0,297
D02,fomo_surge,risk_identification,1,default,True,,146.16,146.16,0.0,0.5485,24,,0,0,24,0,297
D02,fomo_surge,risk_identification,2,default,True,,144.87,143.05,-1.26,0.6182,31,,0,0,31,0,297
D02,fomo_surge,risk_identification,3,default,True,,144.13,143.87,-0.18,0.5886,28,,0,0,28,0,297
D02,fomo_surge,risk_identification,4,default,True,,148.09,142.49,-3.78,0.6866,40,,0,0,40,0,297
D02,fomo_surge,risk_identification,5,default,True,,150.81,150.81,0.0,0.6411,37,,0,0,37,0,297
D02,fomo_surge,risk_identification,6,default,True,,146.33,145.43,-0.62,0.696,41,,0,0,41,0,297
D02,fomo_surge,risk_identification,7,default,True,,144.56,142.73,-1.26,0.7489,43,,0,0,43,0,297
D02,fomo_surge,risk_identification,8,default,True,,144.21,144.21,0.0,0.6053,34,,0,0,34,0,297
D02,fomo_surge,risk_identification,9,default,True,,146.82,146.82,0.0,0.6113,34,,0,0,34,0,297
E01,regulation_baseline,regulation,0,baseline,True,,147.69,142.31,-3.64,0.6892,45,,0,0,45,0,756
E01,regulation_baseline,regulation,1,baseline,True,,149.43,145.98,-2.31,0.6188,41,,0,0,41,0,756
E01,regulation_baseline,regulation,2,baseline,True,,149.43,143.53,-3.95,0.7218,46,,0,0,46,0,756
E01,regulation_baseline,regulation,3,baseline,True,,149.46,142.54,-4.63,0.6712,44,,0,0,44,0,756
E01,regulation_baseline,regulation,4,baseline,True,,149.0,142.31,-4.49,0.8229,45,,0,0,45,0,767
E01,regulation_baseline,regulation,5,baseline,True,,149.89,141.91,-5.32,0.7312,45,,0,0,45,0,762
E01,regulation_baseline,regulation,6,baseline,True,,149.33,144.69,-3.11,0.8426,45,,0,0,45,0,766
E01,regulation_baseline,regulation,7,baseline,True,,148.2,139.36,-5.97,0.9598,49,,0,0,49,0,767
E01,regulation_baseline,regulation,8,baseline,True,,152.25,141.49,-7.07,0.7104,46,,0,0,46,0,756
E01,regulation_baseline,regulation,9,baseline,True,,148.75,145.81,-1.98,0.7107,46,,0,0,46,0,756
E02,regulation_light,regulation,0,light,True,,107.79,103.01,-4.43,0.4859,32,,0,0,32,11,767
E02,regulation_light,regulation,1,light,True,,107.79,101.6,-5.75,0.4491,28,,0,0,28,11,767
E02,regulation_light,regulation,2,light,True,,107.79,101.88,-5.48,0.4857,33,,0,0,33,11,767
E02,regulation_light,regulation,3,light,True,,107.79,101.48,-5.85,0.471,32,,0,0,32,11,767
E02,regulation_light,regulation,4,light,True,,110.52,97.1,-12.14,0.6455,36,,0,0,36,16,779
E02,regulation_light,regulation,5,light,True,,107.79,99.77,-7.44,0.5047,33,,0,0,33,15,775
E02,regulation_light,regulation,6,light,True,,110.52,99.13,-10.31,0.5946,37,,0,0,37,15,776
E02,regulation_light,regulation,7,light,True,,110.52,101.09,-8.53,0.6926,42,,0,0,42,16,779
E02,regulation_light,regulation,8,light,True,,108.05,100.24,-7.23,0.4928,33,,0,0,33,11,767
E02,regulation_light,regulation,9,light,True,,108.08,100.27,-7.23,0.4939,33,,0,0,33,11,767
E03,regulation_strong,regulation,0,strong,True,,107.79,103.01,-4.43,0.4859,32,,0,0,32,11,767
E03,regulation_strong,regulation,1,strong,True,,107.79,101.6,-5.75,0.4491,28,,0,0,28,11,767
E03,regulation_strong,regulation,2,strong,True,,107.79,101.88,-5.48,0.4857,33,,0,0,33,11,767
E03,regulation_strong,regulation,3,strong,True,,107.79,101.48,-5.85,0.471,32,,0,0,32,11,767
E03,regulation_strong,regulation,4,strong,True,,110.52,97.1,-12.14,0.6455,36,,0,0,36,16,779
E03,regulation_strong,regulation,5,strong,True,,107.79,99.77,-7.44,0.5047,33,,0,0,33,15,775
E03,regulation_strong,regulation,6,strong,True,,110.52,99.13,-10.31,0.5946,37,,0,0,37,15,776
E03,regulation_strong,regulation,7,strong,True,,110.52,101.09,-8.53,0.6926,42,,0,0,42,16,779
E03,regulation_strong,regulation,8,strong,True,,108.05,100.24,-7.23,0.4928,33,,0,0,33,11,767
E03,regulation_strong,regulation,9,strong,True,,108.08,100.27,-7.23,0.4939,33,,0,0,33,11,767
